task,sigma_pa,sigma_pb,sigma_a_given_b,sigma_b_given_a,selected_policy,selected_weight,selected_lambda,oracle_full_family_method,oracle_full_family_nll,nll_j1,nll_j2,nll_arithmetic,nll_geometric,nll_hard_core,nll_soft_core_1,nll_selective_core
12,0.08540784472524249,0.1249919831670489,0.4706584215347642,0.13161783362822496,j2_a_then_b,,,soft_w0_l0.3,1.5770490680528855,1.621698739389959,1.5777252125654089,1.5853280271538561,1.5859260652493326,1.5853904856528183,1.5825865838031319,1.5777252125654089
13,0.04267955605131936,0.1070259887507833,0.3177227277370155,0.14669741515731058,soft,1.0,1.0,soft_w0.25_l1,1.4774824970545453,1.4977443163254365,1.4783061342646884,1.4810114387331474,1.4811198370090681,1.4819996423051938,1.479363868435559,1.4888258931473441
14,0.04013155142691455,0.1092025728498632,0.08355297666525015,0.13800983279561335,soft,0.0,3.0,arithmetic,1.5614506608995502,1.563713361070931,1.5633637885763891,1.5614506608995502,1.5614522959586878,1.5653277118215816,1.5618581008007706,1.5632854437134878
15,0.18712909655208976,0.06483756469609957,0.6669946271518207,0.1019857160728148,soft,0.0,1.0,soft_w0_l1,1.4400634292764196,1.5074950805414788,1.4413378802828338,1.451290063881189,1.4531516342781634,1.4517953479882102,1.4476068432963272,1.4400634292764196
16,0.08103848830100831,0.2652421532351817,0.5037014276154549,0.14313368987280092,soft,0.0,1.0,soft_w0_l0.1,1.5296343202923028,1.598153098234209,1.529793622980585,1.5436969447618802,1.5445327469373058,1.550186009851101,1.5423088155585702,1.5320291479756492
17,0.10502168463419631,0.6437444319645228,0.13032106658739875,0.10645694417874825,geometric,0.25,,j2,1.5153734822335727,1.5923847918817609,1.5153734822335727,1.530509304298698,1.5325582154242783,1.5927237253549182,1.557095356305205,1.5184383651016522
18,0.3042273191733007,0.2599965925488691,0.25607292040308177,0.14601797590948892,arithmetic,,,arithmetic,1.5462594790502209,1.561142344443537,1.5604557525771225,1.5462594790502209,1.5462956261312466,1.592319699196389,1.5554138698052162,1.5462594790502209
19,0.14190284759606295,0.18419660666270293,0.21427452225402036,0.10594235450078943,geometric,0.25,,geometric_w0.25,1.502486558066431,1.5136792242474273,1.5047407277740756,1.503212822023689,1.503230095562578,1.5190235105794214,1.5056881327934362,1.502486558066431
20,0.08417219847795981,0.08439467560914463,0.36580921748641265,0.10869749658868672,soft,0.0,0.3,soft_w0_l1,1.447512379473896,1.4714223150842825,1.4480674890068839,1.4520125902692356,1.4522476844149328,1.4526964355985807,1.4501644498230655,1.44761370141198
21,0.2897614177768459,0.44910204730673525,0.2744686468257912,0.2028592473084034,geometric,0.25,,geometric_w0.25,1.4978720214899284,1.5390375196113273,1.5067024562915525,1.5000636490770514,1.5003470657272173,1.5749589713804029,1.5159109821481638,1.4978720214899284
22,0.37704586522760797,0.6943493316078014,0.1277690770529417,0.08710439333105241,geometric,0.25,,geometric_w0.25,1.4970818631325793,1.561262159267044,1.5076920468305255,1.501835397567435,1.502450452197813,1.597024026744696,1.5400594984769578,1.4970818631325793
23,0.04663207549531981,0.06304230348348784,0.537991569050512,0.048537448877562214,soft,0.0,0.3,soft_w0_l0.3,1.5134304747692795,1.569316903425315,1.5135164916767583,1.526206217242802,1.5272269833445915,1.5206262692078238,1.5217456312251816,1.5134304747692795
24,0.04632514640180432,0.3717366694321124,0.1284455189519632,0.060642749873870874,j2_a_then_b,,,j2,1.3743976418561388,1.4103453487058957,1.3743976418561388,1.38246094653113,1.3829156167622745,1.424121713390187,1.3916908214709833,1.3743976418561388
25,0.06811327795559713,0.600198082785632,0.2870886124656031,0.1778453469231843,soft,0.0,0.1,soft_w0_l0.03,1.4859257099135998,1.578461523115262,1.4860225859215266,1.5041625560603742,1.5064336636534605,1.6009640003305803,1.5257184462054132,1.4861915995078618
26,0.07292313917363906,0.1294887402359963,0.2545515272641402,0.24627096926478403,soft,0.25,1.0,soft_w0.5_l1,1.5759930538352307,1.587291309681375,1.5824657774639084,1.576976029342217,1.5770262814764633,1.5807846075654346,1.5759930538352307,1.5763609375070757
27,0.06942788355474588,0.5979717993712009,0.06602546267840832,0.2020951163215871,geometric,0.0,,soft_w0_l0.03,1.5655246996187606,1.647839916053608,1.5656857932241541,1.5796374326060652,1.5823459480100017,1.685851225578322,1.6056376841977653,1.5656857932241541
28,0.16173737459880685,0.6096947937906265,0.14552993483568163,0.11844942426207698,geometric,0.25,,soft_w0_l0.03,1.57383180098976,1.6585597160264764,1.5738528536513168,1.588845301952934,1.591217687041808,1.6773084738157475,1.6181204092672787,1.5760468133185832
29,0.5826648294157795,0.06001482343730429,0.1608607119157852,0.22363871919201367,soft,0.75,0.1,soft_w1_l0.03,1.5518250930672806,1.551984048487707,1.6399744793420632,1.568501156268598,1.5707413276744662,1.6718609514775875,1.591802820946317,1.5574495398434232
30,0.08067127351057136,0.05765211125152254,0.10587742436130138,0.05697750436689061,j1_b_then_a,,,arithmetic,1.430306380640154,1.431888552379037,1.431255203875944,1.430306380640154,1.4303084546008202,1.4332820083642666,1.4306766242493083,1.431888552379037
31,0.27020210707907005,0.07915649317817282,0.3110418628832115,0.6228492917092563,arithmetic,,,soft_w0.75_l0.3,1.496434270655523,1.5031320511065083,1.5614849890981566,1.5056996539005207,1.50617465050524,1.5146065955131247,1.5037201473802453,1.5056996539005207
32,0.11703661198670745,0.45521821378418603,0.1333810442025581,0.448523626650515,arithmetic,,,arithmetic,1.504658974070429,1.5333883106543618,1.5231497382138064,1.504658974070429,1.5052435554559356,1.545795059300589,1.5157081525052665,1.504658974070429
33,0.08174417325012749,0.099639142112137,0.2348391290800168,0.44660344343983216,geometric,0.75,,soft_w0.75_l3,1.540511169341866,1.5471038492485214,1.5697376552499949,1.5455854956839232,1.54585825016995,1.5445473387748145,1.5424763229971505,1.5433129225081186
34,0.669062956879718,0.7295955011752296,0.2609526175731223,0.5715412968791973,arithmetic,,,arithmetic,1.5974226900528001,1.6553754267219025,1.6982844754920683,1.5974226900528001,1.6006246697894515,1.8207086206780116,1.6605117608199955,1.5974226900528001
