dataset,model,family,joint_nll_mean,marginal_distortion_mean
marketing,tabiclv2,raw_only,1.7640775275038294,0.013098952538593642
marketing,tabiclv2,repair_only,1.7579351992680263,0.0037994107528539094
marketing,tabpfn3,full,1.7213803359712958,0.00464413822593438
marketing,tabpfn3,pool_only,1.7234469608787364,0.0065370592234482395
marketing,tabpfn3,raw_only,1.7230566991918235,0.006797874294892581
marketing,tabpfn3,repair_only,1.721347866761954,0.00453067302612354
mic,catboost,full,1.0145789807338172,0.012808615358664779
mic,catboost,pool_only,1.0145789807338172,0.012808615358664779
mic,catboost,raw_only,1.0145789807338172,0.012808615358664779
mic,catboost,repair_only,1.014365267627252,0.012436957083905058
mic,tabiclv2,full,1.0005704332988299,0.0069071702006032795
mic,tabiclv2,pool_only,0.9973119778364243,0.01142113757543596
mic,tabiclv2,raw_only,0.9966145740662137,0.011441801931628439
mic,tabiclv2,repair_only,1.0005965093541291,0.00678049212402602
mic,tabpfn3,full,0.9845607019243369,0.003440647820810154
mic,tabpfn3,pool_only,0.9844436420921048,0.00489274430816374
mic,tabpfn3,raw_only,0.9836896245714961,0.00487069088198634
mic,tabpfn3,repair_only,0.9845196332921539,0.0033579076143590543
nursery,catboost,full,1.5922837827024474,0.02654459002081646
nursery,catboost,pool_only,1.5882897498673014,0.032975234561794
nursery,catboost,raw_only,1.590871955722894,0.03276159042417378
nursery,catboost,repair_only,1.5922837827024474,0.02654459002081646
nursery,tabiclv2,full,1.385429971523186,0.0343843725587938
nursery,tabiclv2,pool_only,1.378622708291593,0.04050228570096898
nursery,tabiclv2,raw_only,1.3836825506115182,0.039733699491622
nursery,tabiclv2,repair_only,1.3848513318626825,0.03429134390646102
nursery,tabpfn3,full,1.3445409919524374,0.03363394930018594
nursery,tabpfn3,pool_only,1.3424076360708106,0.034095857006529826
nursery,tabpfn3,raw_only,1.3424076360708106,0.034095857006529826
nursery,tabpfn3,repair_only,1.3447943689542676,0.03344627343782404
phishing,catboost,full,1.0418280004788811,0.024155369830773897
phishing,catboost,pool_only,1.0443830386244717,0.034637006638256064
phishing,catboost,raw_only,1.0469005399123579,0.03588506702116126
phishing,catboost,repair_only,1.0418280004788811,0.024155369830773897
phishing,tabiclv2,full,0.8424318419434733,0.025126934762568297
phishing,tabiclv2,pool_only,0.8386485556493687,0.026574591329123782
phishing,tabiclv2,raw_only,0.8407465468161227,0.0253717763433982
phishing,tabiclv2,repair_only,0.8426271674045337,0.024792002752461663
phishing,tabpfn3,full,0.8360641036705774,0.01927429478405156
phishing,tabpfn3,pool_only,0.8329876437418864,0.021740095810873158
phishing,tabpfn3,raw_only,0.8335813753121013,0.02139261411664522
phishing,tabpfn3,repair_only,0.8362817077202693,0.01901314979937968
wine,catboost,full,1.2685540930354597,0.0247661567403067
wine,catboost,pool_only,1.2687958172440044,0.02826303869981498
wine,catboost,raw_only,1.2687946740163405,0.02915349273468054
wine,catboost,repair_only,1.2684587075670515,0.02429800227733968
wine,tabiclv2,full,1.1044702273843,0.0173199821276828
wine,tabiclv2,pool_only,1.1047429604313792,0.01812308163504052
wine,tabiclv2,raw_only,1.1055876307373653,0.02226910543645614
wine,tabiclv2,repair_only,1.104361330259857,0.01689341156505752
wine,tabpfn3,full,1.0942685752895156,0.00888777797718846
wine,tabpfn3,pool_only,1.0943228065754262,0.00918447051568328
wine,tabpfn3,raw_only,1.1001057854465162,0.0041653360353894
wine,tabpfn3,repair_only,1.0943422507962388,0.0082903821696163
