dataset,model,fold,method,joint_nll,joint_brier,joint_ece_15,conditional_nll_a_given_b,conditional_nll_b_given_a,marginal_distortion,factorization_tv,selected_policy,selected_weight,selected_lambda,n_train,n_validation,n_test,stratification
anneal,tabiclv2,5,soft_core_lambda_1,0.3120562938003658,0.1849823001056196,0.0696582567700118,0.0096089656557038,0.3028392998938635,0.0038008752331788,0.0279087244046956,j2_a_then_b,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabiclv2,5,selective_core,0.293983622038344,0.1768008261636511,0.0722440183866282,0.0088972108071646,0.284768768566387,0.0132150634607391,0.0279087244046956,j2_a_then_b,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,1,j1_b_then_a,0.4371185801198635,0.192600710299809,0.0284259114109988,0.1038761441814966,0.3169437071334614,0.004218124426883,0.0277408624973472,j1_b_then_a,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,1,j2_a_then_b,0.4917658105239264,0.1992289716874344,0.0423472874981241,0.1530531635647906,0.3619349888315313,0.0107285304467931,0.0277408624973472,j1_b_then_a,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,1,independent,0.463073257630762,0.1898248863504213,0.0401826144764792,0.129830821692395,0.3332424359383669,3.6029294182735407e-17,0.0277408624973472,j1_b_then_a,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,1,arithmetic,0.4466732723303235,0.1949146396072131,0.0408083800707488,0.1132164740040131,0.3223265681391716,0.0074733274368381,0.0277408624973472,j1_b_then_a,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,1,geometric,0.459426186582456,0.19529557450466,0.0491240986766119,0.1259094999203144,0.3345122738875046,0.0083147267912585,0.0277408624973472,j1_b_then_a,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,1,hard_core,0.4761322955627651,0.1924271815725649,0.0458688779476618,0.1428898596243981,0.3463014738699109,2.129774213128108e-13,0.0277408624973472,j1_b_then_a,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,1,soft_core_lambda_1,0.4622855737498044,0.1938045388120868,0.0461438493943973,0.131685437398976,0.3355091809824572,0.0050757660544569,0.0277408624973472,j1_b_then_a,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,1,selective_core,0.4371185801198635,0.192600710299809,0.0284259114109988,0.1038761441814966,0.3169437071334614,0.004218124426883,0.0277408624973472,j1_b_then_a,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,2,j1_b_then_a,0.3404503121721343,0.165117225687234,0.0646107535262375,0.0428334342586997,0.2809854626106032,0.0053767171518401,0.0270787868479678,mpr,0.0,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,2,j2_a_then_b,0.3468409117829562,0.1745892886574828,0.052783324693274,0.0462162689593556,0.2775801801763738,0.0098210094324036,0.0270787868479678,mpr,0.0,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,2,independent,0.3668776095200169,0.1758744056742333,0.054620493838036,0.0692607316065823,0.2976168779134346,3.7270491926761026e-17,0.0270787868479678,mpr,0.0,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,2,arithmetic,0.3416946958167661,0.1690625780010719,0.0586386130419453,0.0431106905861715,0.2778208207074757,0.0075988632921218,0.0270787868479678,mpr,0.0,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,2,geometric,0.340537620382131,0.1687008652398312,0.0543340406220196,0.0425464108245796,0.2764346865172004,0.0080046532938274,0.0270787868479678,mpr,0.0,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,2,hard_core,0.3464916728123918,0.1702968793767359,0.0553094790703355,0.0488747948989571,0.2772309412053758,1.5125658067447833e-13,0.0270787868479678,mpr,0.0,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,2,soft_core_lambda_1,0.3420171115448648,0.1688838119246208,0.0595082894291385,0.0439975785821245,0.2761596080060455,0.0046116518583171,0.0270787868479678,mpr,0.0,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,2,selective_core,0.3465721179176476,0.1706208605223508,0.0548567716998762,0.0489552400042129,0.2773113863105874,1.662791326899438e-13,0.0270787868479678,mpr,0.0,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
