dataset,model,method,joint_nll_mean,joint_nll_sd,joint_brier_mean,factorization_tv_mean,marginal_distortion_mean,n_folds
mic,tabiclv2,arithmetic,0.9999525986876524,0.07165559144005298,0.45500906096360244,0.037309762611720046,0.01125179669758766,5
mic,tabiclv2,geometric,0.9998974635936622,0.0719636300105971,0.4550972173014781,0.037309762611720046,0.01123809112006982,5
mic,tabiclv2,hard_core,1.0050078799868842,0.0744163177606572,0.4582858426511248,0.037309762611720046,1.114055977778128e-13,5
mic,tabiclv2,independent,1.0052394395631556,0.07583381698657614,0.4586394776977989,0.037309762611720046,3.2218803972948636e-17,5
mic,tabiclv2,j1_b_then_a,1.0077388726648018,0.07398325417493976,0.45808707448691965,0.037309762611720046,0.01106179146354694,5
mic,tabiclv2,j2_a_then_b,0.9966145740662137,0.07024206343725141,0.45318578152918815,0.037309762611720046,0.011441801931628439,5
mic,tabiclv2,selective_core,1.0005704332988299,0.0712056349480017,0.4547878363357592,0.037309762611720046,0.0069071702006032795,5
mic,tabiclv2,soft_core_lambda_1,1.001916830988757,0.07314650530534147,0.45657162651515326,0.037309762611720046,0.005636557383657539,5
mic,tabpfn3,arithmetic,0.9836832196115062,0.08888845431330589,0.44706470255337905,0.01600368732533272,0.00460022302241324,5
mic,tabpfn3,geometric,0.9838463724684889,0.08892075981818973,0.4470749329475822,0.01600368732533272,0.00460221861117982,5
mic,tabpfn3,hard_core,0.9847779365746723,0.08917122047047628,0.4471292148261292,0.01600368732533272,4.002493510100102e-15,5
mic,tabpfn3,independent,0.9847517035228401,0.09135805946473578,0.44739164204890586,0.01600368732533272,3.3654347471021345e-17,5
mic,tabpfn3,j1_b_then_a,0.9814553097167773,0.09011245847335939,0.4461129176657348,0.01600368732533272,0.00421520444342168,5
mic,tabpfn3,j2_a_then_b,0.9870514760344766,0.08781482092299807,0.4482786693863806,0.01600368732533272,0.00498524160140474,5
mic,tabpfn3,selective_core,0.9845607019243369,0.08849292903403493,0.44776051390007704,0.01600368732533272,0.003440647820810154,5
mic,tabpfn3,soft_core_lambda_1,0.9842134376440802,0.08905503689489401,0.44706968038697975,0.01600368732533272,0.00230534414010404,5
nursery,catboost,arithmetic,1.585461861369762,0.07537439301369572,0.7612249951110602,0.09067801239857952,0.03331766037933174,5
nursery,catboost,geometric,1.5831122029578057,0.07602645834999355,0.7611786948746954,0.09067801239857952,0.03382955527416756,5
