regime,seed,gamma,method,factorization_tv,joint_nll,joint_brier,tv_to_truth,marginal_distortion,reconciliation_distortion,tax_vs_best_order,tax_vs_selected_order,soft_weight,soft_lambda,pool_weight,selected_order_name,selected_policy
asymmetric_j1_good,38,2.0,arithmetic,0.08935988758844506,1.540511511779147,0.7083357611049684,0.044156536798529746,0.022263505577166498,0.0020772163912818266,0.009955752847432331,0.009955752847432331,0.75,0.3,0.75,j1_b_then_a,soft
asymmetric_j1_good,38,2.0,geometric,0.08935988758844506,1.541449619335403,0.7085684717268761,0.04440451435934338,0.02232151826944247,0.002078523185083358,0.010893860403688338,0.010893860403688338,0.75,0.3,0.75,j1_b_then_a,soft
asymmetric_j1_good,38,2.0,weighted_geometric,0.08935988758844506,1.53390568828172,0.7051614978143237,0.029126995766141226,0.01880154537650101,0.002581958167782786,0.0033499293500052207,0.0033499293500052207,0.75,0.3,0.75,j1_b_then_a,soft
asymmetric_j1_good,38,2.0,hard_core,0.08935988758844506,1.5379631315418048,0.7062756308198745,0.04624485208515975,2.265090261757913e-14,0.0034007508483287403,0.007407372610090057,0.007407372610090057,0.75,0.3,0.75,j1_b_then_a,soft
asymmetric_j1_good,38,2.0,adaptive_soft,0.08935988758844506,1.5337813768160207,0.7050562883772213,0.029495135891574962,0.014762334163758335,0.0026531265520053156,0.0032256178843059757,0.0032256178843059757,0.75,0.3,0.75,j1_b_then_a,soft
asymmetric_j1_good,38,2.0,selective_core,0.08935988758844506,1.5337813768160207,0.7050562883772213,0.029495135891574962,0.014762334163758335,0.0026531265520053156,0.0032256178843059757,0.0032256178843059757,0.75,0.3,0.75,j1_b_then_a,soft
asymmetric_j1_good,39,2.0,j1,0.08115178456621246,1.398536278228784,0.6624255572684472,0.027105688921484843,0.014412499511432768,0.003661972683190936,0.0,0.0,1.0,0.01,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,39,2.0,j2,0.08115178456621246,1.4262595964652678,0.6722123847391517,0.07601694100548778,0.029561902294374012,0.003661972683190936,0.027723318236483774,0.027723318236483774,1.0,0.01,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,39,2.0,selected_order,0.08115178456621246,1.398536278228784,0.6624255572684472,0.027105688921484843,0.014412499511432768,0.003661972683190936,0.0,0.0,1.0,0.01,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,39,2.0,independent,0.08115178456621246,1.590787392487176,0.7090473111599653,0.22009575151230773,4.1187512385063017e-17,0.05416417634856473,0.19225111425839203,0.19225111425839203,1.0,0.01,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,39,2.0,arithmetic,0.08115178456621246,1.4043083721111818,0.664911043093077,0.040808890224041376,0.02198720090290337,0.0018546486342255488,0.005772093882397744,0.005772093882397744,1.0,0.01,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,39,2.0,geometric,0.08115178456621246,1.4049567754977015,0.665057126458593,0.04113872057093856,0.022150296551827323,0.0018562898478361838,0.006420497268917469,0.006420497268917469,1.0,0.01,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,39,2.0,weighted_geometric,0.08115178456621246,1.3985362782287842,0.6624255572684472,0.027105688921484843,0.014412499511432772,0.0036619726831909364,2.220446049250313e-16,2.220446049250313e-16,1.0,0.01,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,39,2.0,hard_core,0.08115178456621246,1.4049730716647635,0.6636730979523875,0.04299573868137957,2.4959505762114225e-14,0.003655078127083816,0.006436793435979471,0.006436793435979471,1.0,0.01,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,39,2.0,adaptive_soft,0.08115178456621246,1.3985204121550636,0.6624189656757783,0.027011034984832392,0.01433754796897938,0.0036539962225235465,-1.586607372039417e-05,-1.586607372039417e-05,1.0,0.01,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,39,2.0,selective_core,0.08115178456621246,1.398536278228784,0.6624255572684472,0.027105688921484843,0.014412499511432768,0.003661972683190936,0.0,0.0,1.0,0.01,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,40,2.0,j1,0.08999630813713194,1.4896938550419585,0.6962958373454023,0.027384182989398865,0.01497520780112631,0.004274104100419713,0.0,0.0,1.0,0.01,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,40,2.0,j2,0.08999630813713194,1.5170514381570706,0.7030093468774989,0.08489633287027337,0.031100640762850684,0.004274104100419713,0.02735758311511205,0.02735758311511205,1.0,0.01,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,40,2.0,selected_order,0.08999630813713194,1.4896938550419585,0.6962958373454023,0.027384182989398865,0.01497520780112631,0.004274104100419713,0.0,0.0,1.0,0.01,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,40,2.0,independent,0.08999630813713194,1.6922442369644086,0.7358363176087291,0.20683907342701555,4.407197403144558e-17,0.0515073028915149,0.20255038192245012,0.20255038192245012,1.0,0.01,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,40,2.0,arithmetic,0.08999630813713194,1.4941178185297674,0.6969899812435333,0.0447822068953503,0.023037924281988472,0.002165142547578485,0.004423963487808935,0.004423963487808935,1.0,0.01,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,40,2.0,geometric,0.08999630813713194,1.494679247252017,0.6970668591673378,0.04510254424679911,0.023207519211610014,0.002166881243115748,0.004985392210058448,0.004985392210058448,1.0,0.01,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,40,2.0,weighted_geometric,0.08999630813713194,1.4896938550419585,0.6962958373454023,0.027384182989398865,0.014975207801126314,0.004274104100419713,0.0,0.0,1.0,0.01,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,40,2.0,hard_core,0.08999630813713194,1.4940951106947447,0.6966411438412017,0.046295785925325406,5.46279037157102e-14,0.004006990719908712,0.004401255652786151,0.004401255652786151,1.0,0.01,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,40,2.0,adaptive_soft,0.08999630813713194,1.4896810701277496,0.6962884470871031,0.027296431396809092,0.01488902140765514,0.004265834601484648,-1.2784914208863185e-05,-1.2784914208863185e-05,1.0,0.01,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,40,2.0,selective_core,0.08999630813713194,1.4896938550419585,0.6962958373454023,0.027384182989398865,0.01497520780112631,0.004274104100419713,0.0,0.0,1.0,0.01,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,41,2.0,j1,0.08434852351458944,1.412484393049599,0.6732075883200969,0.028978290442699697,0.014850825763368002,0.0038140938068494893,0.0,0.0,1.0,0.3,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,41,2.0,j2,0.08434852351458944,1.4185374720780881,0.6753662968794287,0.0780992945396624,0.0319141770137403,0.0038140938068494893,0.006053079028489172,0.006053079028489172,1.0,0.3,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,41,2.0,selected_order,0.08434852351458944,1.412484393049599,0.6732075883200969,0.028978290442699697,0.014850825763368002,0.0038140938068494893,0.0,0.0,1.0,0.3,1.0,j1_b_then_a,j1_b_then_a
