regime,method,expected_nll_mean,expected_nll_se,tv_to_truth_mean,js_to_truth_mean,marginal_distortion_mean
j1_reliable,weighted_geometric,1.4757072345780653,0.007337884681662349,0.02923117209312877,0.0007949249822532178,0.0694609395849593
j2_reliable,adaptive_soft,1.4757923128681603,0.007375455679172222,0.029520776481991903,0.0008109455028827778,0.06335768221771412
j2_reliable,arithmetic,1.5030699499702294,0.0074981481694227445,0.09345846334921377,0.0077640915947317,0.060755337757181026
j2_reliable,geometric,1.5061338409909684,0.007535604847242065,0.0958144984508356,0.008229288371250408,0.06076927871227039
j2_reliable,hard_core,1.5754148556899015,0.0080000273781582,0.14072511922227854,0.02379393104147035,1.668844289754551e-14
j2_reliable,independent,1.725464720109909,0.013760977021839703,0.24622710044218643,0.06350029645925895,4.1542608841462966e-17
j2_reliable,j1,1.6017582933751273,0.008037288316914616,0.18491715191003638,0.03025122043618222,0.0562972161706975
j2_reliable,j2,1.4753255503259226,0.007365011011338194,0.02779425295008896,0.00069515887716212,0.06521345934366457
j2_reliable,selected_order,1.4753255503259226,0.007365011011338194,0.02779425295008896,0.00069515887716212,0.06521345934366457
j2_reliable,soft_core_0.1,1.5072916410834893,0.007541202989319658,0.09704850669822093,0.008506546096009393,0.05680868958576944
j2_reliable,soft_core_1,1.5186081728555911,0.007592442044612592,0.1067163983090364,0.011154557860910665,0.03754048007399615
j2_reliable,soft_core_10,1.5557331778437002,0.007774272240841288,0.13062430264196867,0.019525421834159194,0.00963323255340046
j2_reliable,weighted_geometric,1.4756145864790344,0.007369331984133242,0.02879656769177942,0.0007667083847292805,0.06514257060832497
marginals_reliable,adaptive_soft,1.4882414114183868,0.00737410143964652,0.055032103516527694,0.003939871523225315,0.008428910332876611
marginals_reliable,arithmetic,1.5007600241911843,0.007419158545492045,0.08470742805541993,0.007128792802284536,0.04237437724043849
marginals_reliable,geometric,1.5016067198903382,0.007441993348733753,0.0855522892627487,0.007210933081126687,0.04338509675549422
marginals_reliable,hard_core,1.4874899074531942,0.007373360343648395,0.051630953780917206,0.003742851645911934,1.2962812655908566e-14
marginals_reliable,independent,1.6566794050223763,0.012783274099772556,0.20894258863901574,0.04888947476819025,4.1385573567343456e-17
marginals_reliable,j1,1.5330479823845868,0.007767620133031619,0.11598646353560793,0.01451783477380416,0.04499657204198592
marginals_reliable,j2,1.5272299733723298,0.007531501957363584,0.10693225392050262,0.01321020578037595,0.0397521824388911
marginals_reliable,selected_order,1.5273555954111202,0.00771260153818585,0.10699611520528196,0.013227796365945413,0.03979311056556439
marginals_reliable,soft_core_0.1,1.4991153824637167,0.00742928541721933,0.08123901715593929,0.006607815005104157,0.039664288394843046
marginals_reliable,soft_core_1,1.4905510196180816,0.007389059227796281,0.06389867538673835,0.004522845748439248,0.02363724382266892
marginals_reliable,soft_core_10,1.4867604240688654,0.007375944278847839,0.051811618316107255,0.0035809540815592462,0.005415873893685311
marginals_reliable,weighted_geometric,1.5022323887162643,0.007432493474993621,0.08591963982476622,0.007357472576425127,0.04316722167787927
uniform_low_noise,adaptive_soft,1.479668619940868,0.007306117561291202,0.04036258955205718,0.0014868041933669043,0.022615354789887257
uniform_low_noise,arithmetic,1.4786060276868624,0.007288123561877396,0.036926343757153014,0.0012242664286308991,0.02394076771212637
uniform_low_noise,geometric,1.4786044821532167,0.007288417751083992,0.03691561680679253,0.0012227782138118663,0.023936805589037092
uniform_low_noise,hard_core,1.490186834704297,0.007313890379225788,0.060472693188463725,0.004069833201037457,2.6240968287074094e-14
uniform_low_noise,independent,1.6661202456100512,0.012701798658279884,0.21521945327367958,0.050656940819676095,4.1566288478757474e-17
uniform_low_noise,j1,1.4835152179825146,0.0073211178753532615,0.05210064027760081,0.0024406815770895824,0.024898325809304307
uniform_low_noise,j2,1.483424833732366,0.007315232886615333,0.05186945007964468,0.0024184017395288138,0.022983209614948465
uniform_low_noise,selected_order,1.4834699040513433,0.007318901146047413,0.05199681064979754,0.0024294765404043648,0.023714558651129192
uniform_low_noise,soft_core_0.1,1.4788166405613938,0.007290166162036111,0.03763855303596487,0.0012755250334227886,0.022382364550958905
uniform_low_noise,soft_core_1,1.4806705338265151,0.007302582175178128,0.04328752017340398,0.0017357499730880051,0.014859301925390785
uniform_low_noise,soft_core_10,1.4865977250700815,0.007315572876332698,0.0555055697029216,0.003197032966498855,0.003938996734526704
uniform_low_noise,weighted_geometric,1.4794914064845697,0.007300721379470388,0.03990924775422166,0.0014429274598959426,0.023903865397590537
