regime,seed,n,d,k,gamma,factorization_tv,selected_order_name,selected_pool_weight,selected_soft_weight,selected_soft_lambda,method,expected_nll,expected_brier,tv_to_truth,js_to_truth,marginal_distortion
j2_reliable,16,3000,12,3,2.0,0.18704269614498076,j2_a_then_b,0.0,0.0,0.03,soft_core_1,1.50579638541142,0.6904022878432214,0.10869647398727673,0.011500771373369774,0.039312635612080225
j2_reliable,16,3000,12,3,2.0,0.18704269614498076,j2_a_then_b,0.0,0.0,0.03,soft_core_10,1.5480149221738875,0.6988501774579718,0.13563716188096614,0.02099991822909441,0.010934980755811475
j2_reliable,16,3000,12,3,2.0,0.18704269614498076,j2_a_then_b,0.0,0.0,0.03,adaptive_soft,1.4608999625221677,0.675617538155931,0.02719844946476717,0.0006871298317793008,0.06771038006902878
j2_reliable,17,3000,12,3,2.0,0.18449099767202562,j2_a_then_b,0.0,0.0,0.03,j1,1.5879452543585693,0.7216218266189793,0.18234110973257822,0.02996915761872683,0.054070375426607246
j2_reliable,17,3000,12,3,2.0,0.18449099767202562,j2_a_then_b,0.0,0.0,0.03,j2,1.4622016737240549,0.6784970371868434,0.02745811390135849,0.0006817820733643684,0.05493635259636643
j2_reliable,17,3000,12,3,2.0,0.18449099767202562,j2_a_then_b,0.0,0.0,0.03,selected_order,1.4622016737240549,0.6784970371868434,0.02745811390135849,0.0006817820733643684,0.05493635259636643
j2_reliable,17,3000,12,3,2.0,0.18449099767202562,j2_a_then_b,0.0,0.0,0.03,independent,1.5539593830764518,0.7002555644439756,0.13655900630658885,0.02251272534729492,4.4459344715184155e-17
j2_reliable,17,3000,12,3,2.0,0.18449099767202562,j2_a_then_b,0.0,0.0,0.03,arithmetic,1.4896720866731057,0.6887513885345159,0.09203218609277403,0.007688513157356011,0.05450336401148682
j2_reliable,17,3000,12,3,2.0,0.18449099767202562,j2_a_then_b,0.0,0.0,0.03,geometric,1.4928925415153822,0.6892985296983666,0.0942249475461192,0.00816417208751376,0.05459524905351856
j2_reliable,17,3000,12,3,2.0,0.18449099767202562,j2_a_then_b,0.0,0.0,0.03,weighted_geometric,1.4622016737240549,0.6784970371868434,0.027458113901358494,0.0006817820733643711,0.054936352596366436
j2_reliable,17,3000,12,3,2.0,0.18449099767202562,j2_a_then_b,0.0,0.0,0.03,hard_core,1.5297610775859207,0.6971179108551173,0.11866735778784712,0.016493081762010402,1.854993162394561e-14
j2_reliable,17,3000,12,3,2.0,0.18449099767202562,j2_a_then_b,0.0,0.0,0.03,soft_core_0.1,1.4937679430015287,0.6892351585688149,0.0946331148663366,0.008368750358888776,0.0498858430859701
j2_reliable,17,3000,12,3,2.0,0.18449099767202562,j2_a_then_b,0.0,0.0,0.03,soft_core_1,1.5030902292327177,0.6907045864105966,0.10023161108391222,0.010516095149728738,0.028431837227849584
j2_reliable,17,3000,12,3,2.0,0.18449099767202562,j2_a_then_b,0.0,0.0,0.03,soft_core_10,1.5232652936662077,0.6954850449124522,0.11405182754470287,0.015056774238203995,0.005481693776006117
j2_reliable,17,3000,12,3,2.0,0.18449099767202562,j2_a_then_b,0.0,0.0,0.03,adaptive_soft,1.462214890346042,0.6785009719287818,0.027485766465708744,0.0006849316346513237,0.0536026904926907
j2_reliable,18,3000,12,3,2.0,0.19774916267346865,j2_a_then_b,0.0,0.0,0.03,j1,1.6740769187861957,0.7540641867730282,0.1958030477316565,0.03305524577162508,0.0614626168332366
j2_reliable,18,3000,12,3,2.0,0.19774916267346865,j2_a_then_b,0.0,0.0,0.03,j2,1.5352403747604608,0.7069613282132696,0.02893262344677897,0.0007467214538111305,0.06324154905437016
j2_reliable,18,3000,12,3,2.0,0.19774916267346865,j2_a_then_b,0.0,0.0,0.03,selected_order,1.5352403747604608,0.7069613282132696,0.02893262344677897,0.0007467214538111305,0.06324154905437016
j2_reliable,18,3000,12,3,2.0,0.19774916267346865,j2_a_then_b,0.0,0.0,0.03,independent,1.7329541189956634,0.7546464424733815,0.2196434063510823,0.05035767260546191,3.8978426365242194e-17
j2_reliable,18,3000,12,3,2.0,0.19774916267346865,j2_a_then_b,0.0,0.0,0.03,arithmetic,1.5655421681613544,0.7182154000492703,0.0989137735517183,0.008452590310199742,0.06235208294380335
j2_reliable,18,3000,12,3,2.0,0.19774916267346865,j2_a_then_b,0.0,0.0,0.03,geometric,1.5692382036899826,0.7189754006266799,0.10177585984577557,0.009048934803986688,0.06257189776429532
j2_reliable,18,3000,12,3,2.0,0.19774916267346865,j2_a_then_b,0.0,0.0,0.03,weighted_geometric,1.5352403747604608,0.7069613282132696,0.028932623446778962,0.0007467214538111328,0.06324154905437017
j2_reliable,18,3000,12,3,2.0,0.19774916267346865,j2_a_then_b,0.0,0.0,0.03,hard_core,1.6275465184665485,0.7287522014449662,0.13686707036058784,0.022045015875548264,3.32418723518531e-14
j2_reliable,18,3000,12,3,2.0,0.19774916267346865,j2_a_then_b,0.0,0.0,0.03,soft_core_0.1,1.5700135531962764,0.7188806988510476,0.10225328025018521,0.00923440458120399,0.05810922061238857
j2_reliable,18,3000,12,3,2.0,0.19774916267346865,j2_a_then_b,0.0,0.0,0.03,soft_core_1,1.579934284845465,0.7200657574538702,0.10882719547203283,0.011537466527618554,0.03679732259514032
j2_reliable,18,3000,12,3,2.0,0.19774916267346865,j2_a_then_b,0.0,0.0,0.03,soft_core_10,1.6124270261163245,0.7259423755327552,0.12880718548201134,0.018797412769941523,0.008577016845344438
j2_reliable,18,3000,12,3,2.0,0.19774916267346865,j2_a_then_b,0.0,0.0,0.03,adaptive_soft,1.5352660845232002,0.7069673433328831,0.0290713034108072,0.0007531422130059147,0.06212242915772041
j2_reliable,19,3000,12,3,2.0,0.18202144820934146,j2_a_then_b,0.0,0.0,0.03,j1,1.5563180004513602,0.7096031170138489,0.18047194275236017,0.029778303442201164,0.05076830538323543
j2_reliable,19,3000,12,3,2.0,0.18202144820934146,j2_a_then_b,0.0,0.0,0.03,j2,1.4321665326786104,0.6660014165978929,0.026867122182484677,0.0006692451458803462,0.06508855876987471
j2_reliable,19,3000,12,3,2.0,0.18202144820934146,j2_a_then_b,0.0,0.0,0.03,selected_order,1.4321665326786104,0.6660014165978929,0.026867122182484677,0.0006692451458803462,0.06508855876987471
j2_reliable,19,3000,12,3,2.0,0.18202144820934146,j2_a_then_b,0.0,0.0,0.03,independent,1.6059718603782371,0.7159477574596044,0.20909730169583005,0.04348295981018271,3.860950097683604e-17
